CUSTOMER_KEY,End Datetime,General Supply KWH,Off Peak KWH
8145997,01/01/2013 00:29,0.343,0
8145997,01/01/2013 00:59,0.344,0.359
8145997,01/01/2013 01:29,0.335,0.672
8145997,01/01/2013 01:59,0.31,0
8145997,01/01/2013 02:29,0.216,0
8145997,01/01/2013 02:59,0.248,0
8145997,01/01/2013 03:29,0.378,0
8145997,01/01/2013 03:59,0.333,0
8145997,01/01/2013 04:29,0.317,0
8145997,01/01/2013 04:59,0.253,0
8145997,01/01/2013 05:29,0.205,0
8145997,01/01/2013 05:59,0.253,0
8145997,01/01/2013 06:29,0.435,0.854
8145997,01/01/2013 06:59,0.426,0
8145997,01/01/2013 07:29,0.357,0
8145997,01/01/2013 07:59,0.649,0
8145997,01/01/2013 08:29,0.711,0
8145997,01/01/2013 08:59,0.689,0
8145997,01/01/2013 09:29,0.698,0
8145997,01/01/2013 09:59,0.342,0
8145997,01/01/2013 10:29,0.323,0
8145997,01/01/2013 10:59,0.286,0
8145997,01/01/2013 11:29,0.385,0
8145997,01/01/2013 11:59,0.34,0
8145997,01/01/2013 12:29,0.408,0
8145997,01/01/2013 12:59,0.305,0
8145997,01/01/2013 13:29,0.353,0
8145997,01/01/2013 13:59,0.345,0
8145997,01/01/2013 14:29,0.318,0
8145997,01/01/2013 14:59,0.315,0
8145997,01/01/2013 15:29,0.252,0
8145997,01/01/2013 15:59,0.31,0
8145997,01/01/2013 16:29,0.345,0
8145997,01/01/2013 16:59,0.322,0
8145997,01/01/2013 17:29,0.293,0
8145997,01/01/2013 17:59,0.323,0
8145997,01/01/2013 18:29,0.351,0
8145997,01/01/2013 18:59,0.373,0
8145997,01/01/2013 19:29,0.398,0
8145997,01/01/2013 19:59,0.579,0
8145997,01/01/2013 20:29,0.551,0
8145997,01/01/2013 20:59,0.412,0
8145997,01/01/2013 21:29,0.538,0
8145997,01/01/2013 21:59,0.451,0
8145997,01/01/2013 22:29,0.344,2.008
8145997,01/01/2013 22:59,0.357,1.256
8145997,01/01/2013 23:29,0.438,0
8145997,01/01/2013 23:59,0.372,0
8145997,02/01/2013 00:29,0.359,0.797
8145997,02/01/2013 00:59,0.393,0.165
8145997,02/01/2013 01:29,0.35,0
8145997,02/01/2013 01:59,0.375,0
8145997,02/01/2013 02:29,0.205,0
8145997,02/01/2013 02:59,0.195,0
8145997,02/01/2013 03:29,0.192,0
8145997,02/01/2013 03:59,0.167,0
8145997,02/01/2013 04:29,0.338,0.874
8145997,02/01/2013 04:59,0.211,0
8145997,02/01/2013 05:29,0.264,0.546
8145997,02/01/2013 05:59,0.152,0.304
8145997,02/01/2013 06:29,0.223,0
8145997,02/01/2013 06:59,0.174,0
8145997,02/01/2013 07:29,0.209,0
8145997,02/01/2013 07:59,0.181,0
8145997,02/01/2013 08:29,0.185,0
8145997,02/01/2013 08:59,0.241,0
8145997,02/01/2013 09:29,0.188,0
8145997,02/01/2013 09:59,0.201,0
8145997,02/01/2013 10:29,0.271,0
8145997,02/01/2013 10:59,0.267,0
8145997,02/01/2013 11:29,0.198,0
8145997,02/01/2013 11:59,0.242,0
8145997,02/01/2013 12:29,0.212,0
8145997,02/01/2013 12:59,0.248,0
8145997,02/01/2013 13:29,0.497,0
8145997,02/01/2013 13:59,0.432,0
8145997,02/01/2013 14:29,0.391,0
8145997,02/01/2013 14:59,0.436,0
8145997,02/01/2013 15:29,0.396,0
8145997,02/01/2013 15:59,0.527,0
8145997,02/01/2013 16:29,0.407,0
8145997,02/01/2013 16:59,0.406,0
8145997,02/01/2013 17:29,0.415,0
8145997,02/01/2013 17:59,0.67,0
8145997,02/01/2013 18:29,0.493,0
8145997,02/01/2013 18:59,0.421,0
8145997,02/01/2013 19:29,0.422,0
8145997,02/01/2013 19:59,0.447,0
8145997,02/01/2013 20:29,0.399,0
8145997,02/01/2013 20:59,0.385,0
8145997,02/01/2013 21:29,0.395,0
8145997,02/01/2013 21:59,0.453,0
8145997,02/01/2013 22:29,0.37,0
8145997,02/01/2013 22:59,0.411,1.532
8145997,02/01/2013 23:29,0.319,2.436
8145997,02/01/2013 23:59,0.38,0.495
8145997,03/01/2013 00:29,0.305,0
8145997,03/01/2013 00:59,0.214,1.029
8145997,03/01/2013 01:29,0.148,0
8145997,03/01/2013 01:59,0.186,0
8145997,03/01/2013 02:29,0.147,0
8145997,03/01/2013 02:59,0.184,0
8145997,03/01/2013 03:29,0.158,0
8145997,03/01/2013 03:59,0.184,0
8145997,03/01/2013 04:29,0.326,0
8145997,03/01/2013 04:59,0.249,0.35
8145997,03/01/2013 05:29,0.262,0.49
8145997,03/01/2013 05:59,0.214,0
8145997,03/01/2013 06:29,0.192,0
8145997,03/01/2013 06:59,0.166,0
8145997,03/01/2013 07:29,0.211,0
8145997,03/01/2013 07:59,0.231,0
8145997,03/01/2013 08:29,0.185,0
8145997,03/01/2013 08:59,0.202,0
8145997,03/01/2013 09:29,0.168,0
8145997,03/01/2013 09:59,0.202,0
8145997,03/01/2013 10:29,0.196,0
8145997,03/01/2013 10:59,0.196,0
8145997,03/01/2013 11:29,0.239,0
8145997,03/01/2013 11:59,0.233,0
8145997,03/01/2013 12:29,0.225,0
8145997,03/01/2013 12:59,0.242,0
8145997,03/01/2013 13:29,0.28,0
8145997,03/01/2013 13:59,0.211,0
8145997,03/01/2013 14:29,0.254,0
8145997,03/01/2013 14:59,0.183,0
8145997,03/01/2013 15:29,0.274,0
8145997,03/01/2013 15:59,0.225,0
8145997,03/01/2013 16:29,0.222,0
8145997,03/01/2013 16:59,0.189,0
8145997,03/01/2013 17:29,0.504,0
8145997,03/01/2013 17:59,0.48,0
8145997,03/01/2013 18:29,0.522,0
8145997,03/01/2013 18:59,0.478,0
8145997,03/01/2013 19:29,0.507,0
8145997,03/01/2013 19:59,0.395,0
8145997,03/01/2013 20:29,0.408,0
8145997,03/01/2013 20:59,0.478,0
8145997,03/01/2013 21:29,0.371,0
8145997,03/01/2013 21:59,0.358,0
8145997,03/01/2013 22:29,0.361,0.477
8145997,03/01/2013 22:59,0.319,2.311
8145997,03/01/2013 23:29,0.403,0
8145997,03/01/2013 23:59,0.337,0
8145997,04/01/2013 00:29,0.345,0
8145997,04/01/2013 00:59,0.392,0.598
8145997,04/01/2013 01:29,0.329,0.341
8145997,04/01/2013 01:59,0.368,0
8145997,04/01/2013 02:29,0.243,0
8145997,04/01/2013 02:59,0.121,0
8145997,04/01/2013 03:29,0.186,0
8145997,04/01/2013 03:59,0.164,0
8145997,04/01/2013 04:29,0.303,0
8145997,04/01/2013 04:59,0.189,0.879
8145997,04/01/2013 05:29,0.182,0
8145997,04/01/2013 05:59,0.158,0
8145997,04/01/2013 06:29,0.166,0
8145997,04/01/2013 06:59,0.26,0
8145997,04/01/2013 07:29,0.181,0
8145997,04/01/2013 07:59,0.292,0
8145997,04/01/2013 08:29,0.241,0
8145997,04/01/2013 08:59,0.256,0
8145997,04/01/2013 09:29,0.207,0
8145997,04/01/2013 09:59,0.485,0
8145997,04/01/2013 10:29,0.526,0
8145997,04/01/2013 10:59,1.368,0
8145997,04/01/2013 11:29,0.501,0
8145997,04/01/2013 11:59,0.396,0
8145997,04/01/2013 12:29,0.408,0
8145997,04/01/2013 12:59,0.457,0
8145997,04/01/2013 13:29,0.425,0
8145997,04/01/2013 13:59,0.423,0
8145997,04/01/2013 14:29,0.372,0
8145997,04/01/2013 14:59,0.342,0
8145997,04/01/2013 15:29,0.442,0
8145997,04/01/2013 15:59,0.424,0
8145997,04/01/2013 16:29,0.419,0
8145997,04/01/2013 16:59,0.455,0
8145997,04/01/2013 17:29,0.342,0
8145997,04/01/2013 17:59,0.513,0
8145997,04/01/2013 18:29,0.435,0
8145997,04/01/2013 18:59,0.425,0
8145997,04/01/2013 19:29,0.436,0
8145997,04/01/2013 19:59,0.489,0
8145997,04/01/2013 20:29,0.434,0
8145997,04/01/2013 20:59,0.352,0
8145997,04/01/2013 21:29,0.349,0
8145997,04/01/2013 21:59,0.393,0
8145997,04/01/2013 22:29,0.649,0.766
8145997,04/01/2013 22:59,0.644,2.446
8145997,04/01/2013 23:29,0.724,0.164
8145997,04/01/2013 23:59,0.757,0
8145997,05/01/2013 00:29,0.52,0.295
8145997,05/01/2013 00:59,0.331,0.687
8145997,05/01/2013 01:29,0.331,0
8145997,05/01/2013 01:59,0.334,0
8145997,05/01/2013 02:29,0.17,0
8145997,05/01/2013 02:59,0.133,0
8145997,05/01/2013 03:29,0.202,0
8145997,05/01/2013 03:59,0.173,0
8145997,05/01/2013 04:29,0.153,0
8145997,05/01/2013 04:59,0.163,0
8145997,05/01/2013 05:29,0.143,0
8145997,05/01/2013 05:59,0.132,0
8145997,05/01/2013 06:29,0.155,0.83
8145997,05/01/2013 06:59,0.376,0
8145997,05/01/2013 07:29,0.165,0
8145997,05/01/2013 07:59,0.179,0
8145997,05/01/2013 08:29,0.241,0
8145997,05/01/2013 08:59,0.2,0.804
8145997,05/01/2013 09:29,0.219,0
8145997,05/01/2013 09:59,0.222,0
8145997,05/01/2013 10:29,0.243,0
8145997,05/01/2013 10:59,0.261,0
8145997,05/01/2013 11:29,0.278,0
8145997,05/01/2013 11:59,0.158,0
8145997,05/01/2013 12:29,0.43,0
8145997,05/01/2013 12:59,0.345,0
8145997,05/01/2013 13:29,0.451,0
8145997,05/01/2013 13:59,0.281,0
8145997,05/01/2013 14:29,0.35,0.321
8145997,05/01/2013 14:59,0.338,0.398
8145997,05/01/2013 15:29,0.346,0
8145997,05/01/2013 15:59,0.317,0
8145997,05/01/2013 16:29,0.426,0
8145997,05/01/2013 16:59,0.45,0
8145997,05/01/2013 17:29,0.448,0
8145997,05/01/2013 17:59,0.43,0
8145997,05/01/2013 18:29,0.455,0
8145997,05/01/2013 18:59,0.434,0
8145997,05/01/2013 19:29,0.594,0
8145997,05/01/2013 19:59,0.475,0
8145997,05/01/2013 20:29,0.531,0
8145997,05/01/2013 20:59,0.453,0
8145997,05/01/2013 21:29,0.411,0
8145997,05/01/2013 21:59,0.397,0
8145997,05/01/2013 22:29,0.311,1.963
8145997,05/01/2013 22:59,0.416,0.14
8145997,05/01/2013 23:29,0.386,0
8145997,05/01/2013 23:59,0.337,0
8145997,06/01/2013 00:29,0.315,0
8145997,06/01/2013 00:59,0.285,0
8145997,06/01/2013 01:29,0.406,0
8145997,06/01/2013 01:59,0.3,0.807
8145997,06/01/2013 02:29,0.189,0
8145997,06/01/2013 02:59,0.195,0
8145997,06/01/2013 03:29,0.14,0
8145997,06/01/2013 03:59,0.196,0
8145997,06/01/2013 04:29,0.231,0
8145997,06/01/2013 04:59,0.162,0
8145997,06/01/2013 05:29,0.177,0
8145997,06/01/2013 05:59,0.158,0
8145997,06/01/2013 06:29,0.178,0
8145997,06/01/2013 06:59,0.387,0
8145997,06/01/2013 07:29,0.25,0
8145997,06/01/2013 07:59,0.265,0.872
8145997,06/01/2013 08:29,0.167,0
8145997,06/01/2013 08:59,0.211,0
8145997,06/01/2013 09:29,0.206,0
8145997,06/01/2013 09:59,0.365,0
8145997,06/01/2013 10:29,0.445,0
8145997,06/01/2013 10:59,0.41,0
8145997,06/01/2013 11:29,0.494,0.758
8145997,06/01/2013 11:59,0.316,0
8145997,06/01/2013 12:29,0.517,0
8145997,06/01/2013 12:59,0.422,0
8145997,06/01/2013 13:29,0.419,0
8145997,06/01/2013 13:59,0.352,0
8145997,06/01/2013 14:29,0.455,0.432
8145997,06/01/2013 14:59,0.342,0.287
8145997,06/01/2013 15:29,0.398,0.738
8145997,06/01/2013 15:59,0.438,0.002
8145997,06/01/2013 16:29,0.373,0
8145997,06/01/2013 16:59,0.41,0
8145997,06/01/2013 17:29,0.453,0
8145997,06/01/2013 17:59,0.539,0
8145997,06/01/2013 18:29,0.467,0
8145997,06/01/2013 18:59,0.503,0
8145997,06/01/2013 19:29,0.52,0
8145997,06/01/2013 19:59,0.503,0
8145997,06/01/2013 20:29,0.394,0
8145997,06/01/2013 20:59,0.459,0
8145997,06/01/2013 21:29,0.391,0
8145997,06/01/2013 21:59,0.407,0
8145997,06/01/2013 22:29,0.386,1.928
8145997,06/01/2013 22:59,0.364,0.987
8145997,06/01/2013 23:29,0.429,0
8145997,06/01/2013 23:59,0.348,0
8145997,07/01/2013 00:29,0.423,0
8145997,07/01/2013 00:59,0.437,0.175
8145997,07/01/2013 01:29,0.364,0.674
8145997,07/01/2013 01:59,0.23,0
8145997,07/01/2013 02:29,0.189,0
8145997,07/01/2013 02:59,0.241,0
8145997,07/01/2013 03:29,0.22,0
8145997,07/01/2013 03:59,0.214,0
8145997,07/01/2013 04:29,0.208,0
8145997,07/01/2013 04:59,0.401,0
8145997,07/01/2013 05:29,0.386,0.857
8145997,07/01/2013 05:59,0.223,0
8145997,07/01/2013 06:29,0.152,0
8145997,07/01/2013 06:59,0.313,0
8145997,07/01/2013 07:29,0.445,0
8145997,07/01/2013 07:59,0.417,0
8145997,07/01/2013 08:29,0.239,0
8145997,07/01/2013 08:59,0.314,0
8145997,07/01/2013 09:29,0.491,0
8145997,07/01/2013 09:59,0.222,0
8145997,07/01/2013 10:29,0.204,0
8145997,07/01/2013 10:59,0.267,0
8145997,07/01/2013 11:29,0.299,0
8145997,07/01/2013 11:59,0.353,0
8145997,07/01/2013 12:29,0.316,0
8145997,07/01/2013 12:59,0.275,0
8145997,07/01/2013 13:29,0.25,0
8145997,07/01/2013 13:59,0.283,0
8145997,07/01/2013 14:29,0.246,0
8145997,07/01/2013 14:59,0.248,0
8145997,07/01/2013 15:29,0.208,0
8145997,07/01/2013 15:59,0.205,0
8145997,07/01/2013 16:29,0.233,0
8145997,07/01/2013 16:59,0.237,0
8145997,07/01/2013 17:29,0.294,0
8145997,07/01/2013 17:59,0.197,0
8145997,07/01/2013 18:29,0.352,0
